jelo,kategorija,cijena,datum
Luk,Salata,1.0,2018-04-28 18:07:13
Indeks sendvič,Sendvič,2.0,2018-11-02 18:37:47
Domaća čorba,Ručak,5.0,2018-04-28 04:49:23
Voćni sendvič,Sendvič,3.0,2018-06-22 01:11:43
Šiš ćevapi,Roštilj,4.0,2018-06-01 00:26:22
Engleska salata 100g,Salata,2.0,2018-10-31 04:50:50
Vijetnamski som 200g,Posno,12.0,2018-07-25 04:27:02
Ruska salata 100g,Salata,2.0,2018-01-09 09:03:17
Omlet sa povrćem,Doručak,4.0,2018-08-05 18:25:36
Oslić 200g,Posno,6.0,2018-12-09 18:23:06
Oslić 200g,Posno,6.0,2018-07-07 02:39:08
Pileće krpice,Roštilj,6.0,2018-08-03 13:08:29
Jagoda,Piće,2.0,2018-11-13 07:43:30
Lignje 300g,Posno,8.0,2018-04-09 11:53:54
Pastrmka 200g,Posno,7.0,2018-07-24 14:05:23
Oslić 300g,Posno,8.0,2018-01-22 00:42:05
Kapućino,Kafa,2.0,2018-02-20 05:35:51
Domaća čorba,Ručak,5.0,2018-10-16 16:56:22
Fruit smoothie 3,Smoothie,3.0,2018-06-22 19:32:39
Ruska salata 200g,Salata,4.0,2018-08-27 19:01:30
Oslić 300g,Posno,8.0,2018-12-07 09:02:16
Čaj,Piće,1.5,2018-02-22 21:18:20
Fruit smoothie 2,Smoothie,3.0,2018-12-21 13:54:55
Lignje 300g,Posno,8.0,2018-04-05 19:40:25
Pileći file,Roštilj,5.0,2018-12-21 13:32:07
Ruska salata 200g,Salata,4.0,2018-04-05 22:58:04
Ruska salata 200g,Salata,4.0,2018-05-29 16:21:20
Crno Vino,Piće,18.0,2018-11-22 02:45:21
Hercegovačko vino,Piće,20.0,2018-05-29 21:15:58
Riblja čorba,Posno,6.0,2018-07-07 23:10:45
Kapućino,Kafa,2.0,2018-06-15 19:41:05
Doručak specijal,Doručak,6.0,2018-05-04 01:20:53
Omlet,Doručak,3.5,2018-07-14 07:05:41
Gurmanski hamburger,Ručak,7.0,2018-12-26 07:51:00
Bijelo Vino,Piće,15.0,2018-10-09 23:34:45
Vijetnamski som 200g,Posno,12.0,2018-03-14 22:01:56
Lignje 300g,Posno,8.0,2018-08-03 21:48:07
Voćni sendvič,Sendvič,3.0,2018-07-21 00:38:45
Luk,Salata,1.0,2018-05-20 19:10:43
Ruska salata 100g,Salata,2.0,2018-05-28 13:19:12
Hercegovačko vino,Piće,20.0,2018-01-10 12:09:16
Kafa,Kafa,2.0,2018-05-23 09:47:09
Omlet sa slaninom,Doručak,5.0,2018-10-04 00:01:50
Hamburger,Ručak,4.0,2018-07-27 05:04:42
Indeks sendvič,Sendvič,2.0,2018-05-14 01:16:25
Omlet sa slaninom,Doručak,5.0,2018-03-28 04:16:48
Šiš ćevapi,Roštilj,4.0,2018-12-16 14:20:26
Omlet sa slaninom,Doručak,5.0,2018-03-08 06:13:30
Fruit smoothie 3,Smoothie,3.0,2018-01-16 04:09:33
Kola,Piće,2.0,2018-09-09 22:03:13
Riblja čorba,Posno,6.0,2018-07-25 13:39:12
Ćevapi srednja porcija,Roštilj,5.0,2018-09-24 09:18:00
Ćevapi srednja porcija,Roštilj,5.0,2018-09-23 01:35:49
Pileće krpice,Roštilj,6.0,2018-04-06 23:01:53
Oslić 300g,Posno,8.0,2018-05-03 22:07:42
Šiš ćevapi,Roštilj,4.0,2018-01-01 09:04:00
Doručak specijal,Doručak,6.0,2018-04-11 14:09:01
Domaća čorba,Ručak,5.0,2018-06-02 08:37:40
Omlet sa slaninom,Doručak,5.0,2018-01-16 16:11:19
Pastrmka 200g,Posno,7.0,2018-09-28 16:30:22
Kapućino,Kafa,2.0,2018-03-15 08:42:53
Hercegovačko vino,Piće,20.0,2018-07-21 05:33:21
Luk,Salata,1.0,2018-06-21 17:44:36
Oslić 200g,Posno,6.0,2018-08-06 19:20:47
Kapućino,Kafa,2.0,2018-05-02 23:48:11
Dupli čizburger,Ručak,6.0,2018-01-20 14:49:45
Omlet sa sirom,Doručak,4.0,2018-07-27 07:41:57
Omlet sa slaninom,Doručak,5.0,2018-06-17 11:46:27
Vijetnamski som 200g,Posno,12.0,2018-04-06 00:57:26
Indeks sendvič,Sendvič,2.0,2018-06-15 22:16:21
Fruit smoothie 2,Smoothie,3.0,2018-09-29 23:54:05
Ruska salata 200g,Salata,4.0,2018-03-13 08:15:58
Pileći file,Roštilj,5.0,2018-10-16 14:20:58
Fruit smoothie 1,Smoothie,3.0,2018-08-04 10:19:54
Jaja i kobasica,Doručak,5.0,2018-02-13 01:41:21
Doručak specijal,Doručak,6.0,2018-08-08 04:20:26
Hamburger,Ručak,4.0,2018-03-06 13:54:17
Vijetnamski som 200g,Posno,12.0,2018-05-14 11:20:37
Kapućino,Kafa,2.0,2018-09-04 10:36:21
Oslić 200g,Posno,6.0,2018-03-27 20:50:07
Ćevapi velika porcija,Roštilj,6.5,2018-11-02 12:59:41
Riblja čorba,Posno,6.0,2018-11-10 18:57:56
Cedevita,Piće,3.0,2018-12-22 03:04:45
Fruit smoothie 3,Smoothie,3.0,2018-11-06 10:55:01
Ćevapi velika porcija,Roštilj,6.5,2018-04-09 02:26:00
Pastrmka 200g,Posno,7.0,2018-12-04 11:44:51
Indeks sendvič,Sendvič,2.0,2018-03-30 01:59:37
Hercegovačko vino,Piće,20.0,2018-06-10 14:46:34
Omlet,Doručak,3.5,2018-02-23 20:26:00
Čizburger,Ručak,4.5,2018-06-20 06:16:58
Ćevapi velika porcija,Roštilj,6.5,2018-06-13 07:17:31
Fruit smoothie 1,Smoothie,3.0,2018-05-23 15:59:42
Voćni sendvič,Sendvič,3.0,2018-02-24 10:57:05
Crno Vino,Piće,18.0,2018-05-12 04:03:46
Voćni sendvič,Sendvič,3.0,2018-05-26 06:32:33
Ruska salata 100g,Salata,2.0,2018-04-20 22:12:07
Ćevapi mala porcija,Roštilj,3.0,2018-01-06 12:20:44
Jabuka,Piće,2.0,2018-04-30 01:38:53
Riblja čorba,Posno,6.0,2018-11-02 00:43:08
Kola,Piće,2.0,2018-08-07 21:52:10
Čizburger,Ručak,4.5,2018-07-09 01:09:54
Hercegovačko vino,Piće,20.0,2018-04-06 09:07:17
Jabuka,Piće,2.0,2018-10-22 09:46:52
Voćni sendvič,Sendvič,3.0,2018-03-07 08:20:35
Indeks sendvič,Sendvič,2.0,2018-06-22 07:36:55
Lignje 300g,Posno,8.0,2018-11-17 03:33:09
Jabuka,Piće,2.0,2018-07-27 15:43:26
Dupli čizburger,Ručak,6.0,2018-06-04 14:39:50
Čaj,Piće,1.5,2018-11-22 19:41:06
Voćni sendvič,Sendvič,3.0,2018-11-19 11:07:06
Čizburger,Ručak,4.5,2018-11-12 13:53:16
Cedevita,Piće,3.0,2018-06-05 14:20:18
Jabuka,Piće,2.0,2018-02-27 10:49:48
Šiš ćevapi,Roštilj,4.0,2018-07-24 22:11:20
Ruska salata 100g,Salata,2.0,2018-05-28 13:05:52
Pileći file,Roštilj,5.0,2018-09-11 19:03:33
Indeks sendvič,Sendvič,2.0,2018-10-27 05:15:06
Dupli čizburger,Ručak,6.0,2018-11-23 16:56:44
Kapućino,Kafa,2.0,2018-09-22 14:12:35
Oslić 300g,Posno,8.0,2018-03-10 04:24:32
Pastrmka 200g,Posno,7.0,2018-11-01 11:20:35
Ruska salata 200g,Salata,4.0,2018-02-02 03:09:15
Indeks sendvič,Sendvič,2.0,2018-06-27 22:47:53
Riblja čorba,Posno,6.0,2018-09-28 04:43:39
Ćevapi mala porcija,Roštilj,3.0,2018-08-09 13:54:17
Omlet sa povrćem,Doručak,4.0,2018-04-14 16:47:12
Jabuka,Piće,2.0,2018-05-16 08:59:51
Omlet sa slaninom,Doručak,5.0,2018-01-11 11:21:23
Kafa,Kafa,2.0,2018-06-02 13:47:08
Pileći file,Roštilj,5.0,2018-04-24 09:12:42
Pileće krpice,Roštilj,6.0,2018-11-11 07:07:40
Omlet sa sirom,Doručak,4.0,2018-12-11 13:43:33
Jaja i kobasica,Doručak,5.0,2018-10-03 06:15:27
Ćevapi srednja porcija,Roštilj,5.0,2018-12-30 06:07:33
Domaća čorba,Ručak,5.0,2018-12-04 09:26:48
Kafa,Kafa,2.0,2018-01-02 18:33:19
Oslić 300g,Posno,8.0,2018-02-07 20:37:01
Jagoda,Piće,2.0,2018-03-06 02:12:18
Dupli čizburger,Ručak,6.0,2018-11-01 14:56:28
Šiš ćevapi,Roštilj,4.0,2018-01-31 05:19:03
Gurmanski hamburger,Ručak,7.0,2018-12-14 05:39:57
Voćni sendvič,Sendvič,3.0,2018-11-06 12:33:11
Hercegovačko vino,Piće,20.0,2018-10-02 01:41:21
Čizburger,Ručak,4.5,2018-05-06 03:46:50
Oslić 300g,Posno,8.0,2018-02-18 01:33:21
Ćevapi srednja porcija,Roštilj,5.0,2018-11-23 14:41:52
Pileće krpice,Roštilj,6.0,2018-10-20 02:15:42
Dupli čizburger,Ručak,6.0,2018-07-06 18:20:42
Omlet,Doručak,3.5,2018-02-09 00:40:14
Hamburger,Ručak,4.0,2018-04-24 16:47:48
Oslić 300g,Posno,8.0,2018-05-14 20:12:20
Jagoda,Piće,2.0,2018-07-27 19:47:50
Omlet,Doručak,3.5,2018-04-12 06:26:33
Hercegovačko vino,Piće,20.0,2018-01-14 04:00:09
Fruit smoothie 3,Smoothie,3.0,2018-04-01 10:12:12
Čizburger,Ručak,4.5,2018-03-07 18:25:37
Hercegovačko vino,Piće,20.0,2018-09-21 22:34:05
Doručak specijal,Doručak,6.0,2018-03-02 23:30:25
Pileće krpice,Roštilj,6.0,2018-04-27 23:00:53
Pastrmka 200g,Posno,7.0,2018-10-26 07:36:38
Vijetnamski som 200g,Posno,12.0,2018-07-26 00:05:32
Ćevapi srednja porcija,Roštilj,5.0,2018-11-17 03:13:59
Cedevita,Piće,3.0,2018-10-21 12:11:00
Domaća čorba,Ručak,5.0,2018-07-12 12:22:58
Roštiljska kobasica,Roštilj,3.0,2018-07-08 16:26:40
Oslić 300g,Posno,8.0,2018-09-25 15:29:23
Ćevapi velika porcija,Roštilj,6.5,2018-01-04 10:41:30
Kapućino,Kafa,2.0,2018-04-15 00:10:55
Gurmanski hamburger,Ručak,7.0,2018-12-24 17:08:55
Jagoda,Piće,2.0,2018-08-20 06:18:42
Omlet sa povrćem,Doručak,4.0,2018-12-21 18:15:54
Kafa,Kafa,2.0,2018-05-11 06:59:08
Roštiljska kobasica,Roštilj,3.0,2018-08-22 16:48:27
Omlet sa slaninom,Doručak,5.0,2018-09-19 09:30:09
Domaća čorba,Ručak,5.0,2018-04-19 16:40:51
Jagoda,Piće,2.0,2018-04-24 04:52:38
Ćevapi srednja porcija,Roštilj,5.0,2018-07-06 01:30:54
Fruit smoothie 3,Smoothie,3.0,2018-02-01 20:27:54
Ćevapi mala porcija,Roštilj,3.0,2018-02-10 12:45:01
Omlet sa povrćem,Doručak,4.0,2018-06-23 22:03:28
Kapućino,Kafa,2.0,2018-04-06 08:02:32
Luk,Salata,1.0,2018-05-27 02:23:30
Indeks sendvič,Sendvič,2.0,2018-07-31 22:52:18
Ćevapi velika porcija,Roštilj,6.5,2018-12-12 05:20:34
Doručak specijal,Doručak,6.0,2018-09-15 05:37:25
Lignje 300g,Posno,8.0,2018-02-17 10:40:01
Vijetnamski som 200g,Posno,12.0,2018-07-06 15:30:12
Fruit smoothie 1,Smoothie,3.0,2018-08-09 06:09:23
Kupus salata 100g,Salata,1.0,2018-06-09 14:18:51
Omlet sa slaninom,Doručak,5.0,2018-05-03 05:39:36
Engleska salata 100g,Salata,2.0,2018-05-01 00:06:36
Ruska salata 200g,Salata,4.0,2018-01-26 22:44:40
Gurmanski hamburger,Ručak,7.0,2018-06-21 19:10:08
Domaća čorba,Ručak,5.0,2018-03-04 18:09:47
Fruit smoothie 2,Smoothie,3.0,2018-12-02 10:08:40
Oslić 200g,Posno,6.0,2018-06-04 19:55:27
Crno Vino,Piće,18.0,2018-07-12 03:15:44
Indeks sendvič,Sendvič,2.0,2018-10-23 01:41:45
Ćevapi mala porcija,Roštilj,3.0,2018-03-08 12:41:29
Ćevapi srednja porcija,Roštilj,5.0,2018-01-26 08:14:23
Roštiljska kobasica,Roštilj,3.0,2018-12-27 06:32:34
Omlet sa sirom,Doručak,4.0,2018-10-26 11:23:20
Fruit smoothie 2,Smoothie,3.0,2018-07-16 11:32:23
Oslić 300g,Posno,8.0,2018-04-08 02:41:13
Jagoda,Piće,2.0,2018-04-18 23:07:46
Voćni sendvič,Sendvič,3.0,2018-05-28 14:28:39
Kupus salata 100g,Salata,1.0,2018-08-28 21:08:56
Omlet sa slaninom,Doručak,5.0,2018-06-30 04:08:05
Oslić 300g,Posno,8.0,2018-09-22 03:48:17
Domaća čorba,Ručak,5.0,2018-10-25 19:44:39
Engleska salata 100g,Salata,2.0,2018-12-07 17:40:07
Kafa,Kafa,2.0,2018-05-28 20:36:27
Voćni sendvič,Sendvič,3.0,2018-10-22 13:49:22
Oslić 300g,Posno,8.0,2018-01-29 16:14:31
Omlet sa sirom,Doručak,4.0,2018-11-19 16:47:41
Čaj,Piće,1.5,2018-01-13 01:42:58
Doručak specijal,Doručak,6.0,2018-09-16 01:32:32
Fruit smoothie 2,Smoothie,3.0,2018-07-16 09:25:37
Kapućino,Kafa,2.0,2018-06-29 23:11:25
Omlet sa sirom,Doručak,4.0,2018-06-06 20:51:09
Kola,Piće,2.0,2018-01-04 13:37:44
Indeks sendvič,Sendvič,2.0,2018-10-12 05:39:59
Bijelo Vino,Piće,15.0,2018-12-22 07:28:36
Hercegovačko vino,Piće,20.0,2018-12-22 05:59:18
Bijelo Vino,Piće,15.0,2018-07-04 19:41:30
Fruit smoothie 2,Smoothie,3.0,2018-03-19 07:22:48
Dupli čizburger,Ručak,6.0,2018-09-04 04:36:58
Vijetnamski som 200g,Posno,12.0,2018-11-28 01:56:20
Ćevapi velika porcija,Roštilj,6.5,2018-02-22 04:36:17
Gurmanski hamburger,Ručak,7.0,2018-08-04 21:33:20
Pileće krpice,Roštilj,6.0,2018-06-05 23:45:14
Čaj,Piće,1.5,2018-05-20 02:46:18
Crno Vino,Piće,18.0,2018-12-23 02:49:08
Jaja i kobasica,Doručak,5.0,2018-10-12 05:25:19
Omlet sa sirom,Doručak,4.0,2018-05-14 01:34:56
Vijetnamski som 200g,Posno,12.0,2018-09-19 14:33:52
Pileće krpice,Roštilj,6.0,2018-08-04 18:05:03
Riblja čorba,Posno,6.0,2018-07-19 21:26:38
Vijetnamski som 200g,Posno,12.0,2018-09-28 10:08:14
Bijelo Vino,Piće,15.0,2018-11-22 11:57:31
Jagoda,Piće,2.0,2018-05-26 03:09:23
Omlet sa sirom,Doručak,4.0,2018-04-15 07:26:04
Luk,Salata,1.0,2018-04-27 12:09:53
Kola,Piće,2.0,2018-01-21 01:30:55
Fruit smoothie 3,Smoothie,3.0,2018-11-18 11:55:45
Oslić 200g,Posno,6.0,2018-03-08 15:55:38
Fruit smoothie 3,Smoothie,3.0,2018-07-26 19:09:52
Vijetnamski som 200g,Posno,12.0,2018-04-05 02:12:04
Jagoda,Piće,2.0,2018-01-10 02:00:05
Fruit smoothie 1,Smoothie,3.0,2018-11-23 21:58:40
Omlet,Doručak,3.5,2018-04-18 02:11:09
Ćevapi srednja porcija,Roštilj,5.0,2018-10-05 02:32:33
Fruit smoothie 1,Smoothie,3.0,2018-06-14 01:13:28
Omlet sa povrćem,Doručak,4.0,2018-09-12 13:42:32
Ćevapi velika porcija,Roštilj,6.5,2018-10-30 19:47:21
Vijetnamski som 200g,Posno,12.0,2018-07-07 13:00:27
Kola,Piće,2.0,2018-11-18 23:15:54
Omlet sa povrćem,Doručak,4.0,2018-06-28 18:15:27
Riblja čorba,Posno,6.0,2018-05-28 22:47:09
Engleska salata 100g,Salata,2.0,2018-10-18 04:04:20
Indeks sendvič,Sendvič,2.0,2018-11-22 19:21:52
Ćevapi velika porcija,Roštilj,6.5,2018-04-20 01:24:07
Indeks sendvič,Sendvič,2.0,2018-04-12 23:16:40
Ruska salata 200g,Salata,4.0,2018-02-03 11:02:29
Pileće krpice,Roštilj,6.0,2018-02-18 01:41:33
Jaja i kobasica,Doručak,5.0,2018-08-28 15:50:51
Ćevapi srednja porcija,Roštilj,5.0,2018-09-21 15:36:32
Hamburger,Ručak,4.0,2018-08-26 21:29:28
Voćni sendvič,Sendvič,3.0,2018-05-31 13:38:57
Crno Vino,Piće,18.0,2018-01-25 12:29:33
Ćevapi mala porcija,Roštilj,3.0,2018-11-10 05:03:48
Engleska salata 100g,Salata,2.0,2018-09-04 14:48:03
Omlet,Doručak,3.5,2018-10-03 12:26:49
Pastrmka 200g,Posno,7.0,2018-05-25 07:58:24
Indeks sendvič,Sendvič,2.0,2018-03-21 20:53:08
Kola,Piće,2.0,2018-08-29 15:47:12
Jaja i kobasica,Doručak,5.0,2018-03-02 14:58:18
Pastrmka 200g,Posno,7.0,2018-11-06 09:13:53
Voćni sendvič,Sendvič,3.0,2018-05-24 05:30:53
Indeks sendvič,Sendvič,2.0,2018-06-08 04:38:16
Omlet sa sirom,Doručak,4.0,2018-02-18 04:25:25
Ruska salata 200g,Salata,4.0,2018-12-07 03:38:07
Ćevapi srednja porcija,Roštilj,5.0,2018-06-17 06:11:50
Pileći file,Roštilj,5.0,2018-04-07 08:17:14
Dupli čizburger,Ručak,6.0,2018-05-12 17:59:34
Indeks sendvič,Sendvič,2.0,2018-09-14 18:22:19
Kapućino,Kafa,2.0,2018-07-01 16:07:07
Kupus salata 100g,Salata,1.0,2018-12-09 10:10:11
Cedevita,Piće,3.0,2018-02-21 02:25:07
Ćevapi srednja porcija,Roštilj,5.0,2018-03-10 19:53:55
Doručak specijal,Doručak,6.0,2018-01-15 23:13:37
Fruit smoothie 3,Smoothie,3.0,2018-03-13 12:14:46
Kafa,Kafa,2.0,2018-10-07 15:56:41
Pileće krpice,Roštilj,6.0,2018-08-24 05:39:54
Domaća čorba,Ručak,5.0,2018-08-25 16:02:55
Kafa,Kafa,2.0,2018-08-18 18:31:54
Čizburger,Ručak,4.5,2018-02-27 20:49:29
Bijelo Vino,Piće,15.0,2018-12-27 21:42:11
Kafa,Kafa,2.0,2018-12-17 19:22:04
Roštiljska kobasica,Roštilj,3.0,2018-08-27 11:49:14
Kola,Piće,2.0,2018-08-01 12:47:24
Kafa,Kafa,2.0,2018-10-07 17:02:31
Pileće krpice,Roštilj,6.0,2018-10-14 00:43:13
Kapućino,Kafa,2.0,2018-02-01 20:07:29
Omlet sa sirom,Doručak,4.0,2018-08-16 06:18:04
Jagoda,Piće,2.0,2018-07-01 04:16:44
Fruit smoothie 2,Smoothie,3.0,2018-09-07 03:01:39
Šiš ćevapi,Roštilj,4.0,2018-08-06 12:07:03
Crno Vino,Piće,18.0,2018-04-01 06:54:20
Luk,Salata,1.0,2018-10-07 23:41:49
Doručak specijal,Doručak,6.0,2018-04-09 16:20:54
Šiš ćevapi,Roštilj,4.0,2018-08-16 03:04:11
Omlet sa slaninom,Doručak,5.0,2018-11-22 12:06:32
Omlet sa povrćem,Doručak,4.0,2018-07-10 10:44:55
Kupus salata 100g,Salata,1.0,2018-07-12 13:24:48
Čaj,Piće,1.5,2018-02-13 08:33:04
Bijelo Vino,Piće,15.0,2018-03-16 06:08:33
Oslić 200g,Posno,6.0,2018-03-30 02:52:18
Ruska salata 200g,Salata,4.0,2018-11-18 21:31:14
Omlet sa slaninom,Doručak,5.0,2018-04-21 08:56:19
Oslić 200g,Posno,6.0,2018-03-28 21:11:33
Kupus salata 100g,Salata,1.0,2018-04-24 10:40:43
Kupus salata 100g,Salata,1.0,2018-03-19 17:30:08
Hercegovačko vino,Piće,20.0,2018-10-08 11:21:23
Kola,Piće,2.0,2018-05-31 07:15:58
Čizburger,Ručak,4.5,2018-03-29 06:41:25
Omlet sa povrćem,Doručak,4.0,2018-09-17 17:15:53
Ruska salata 200g,Salata,4.0,2018-03-09 08:29:10
Omlet sa slaninom,Doručak,5.0,2018-09-15 09:39:02
Bijelo Vino,Piće,15.0,2018-02-15 18:58:56
Omlet sa sirom,Doručak,4.0,2018-11-21 08:49:38
Jagoda,Piće,2.0,2018-07-19 12:05:35
Jaja i kobasica,Doručak,5.0,2018-10-01 10:31:33
Kafa,Kafa,2.0,2018-04-16 01:21:13
Ćevapi velika porcija,Roštilj,6.5,2018-08-17 11:54:37
Lignje 300g,Posno,8.0,2018-05-29 04:52:15
Omlet sa povrćem,Doručak,4.0,2018-05-07 08:22:31
Omlet,Doručak,3.5,2018-06-10 16:44:52
Lignje 300g,Posno,8.0,2018-12-29 02:55:43
Ćevapi velika porcija,Roštilj,6.5,2018-10-08 10:53:30
Dupli čizburger,Ručak,6.0,2018-12-17 02:29:08
Vijetnamski som 200g,Posno,12.0,2018-12-20 13:36:43
Pileće krpice,Roštilj,6.0,2018-01-26 09:40:24
Jabuka,Piće,2.0,2018-12-23 01:24:47
Jagoda,Piće,2.0,2018-06-24 01:33:28
Omlet sa slaninom,Doručak,5.0,2018-04-21 04:53:04
Oslić 200g,Posno,6.0,2018-06-13 07:36:58
Dupli čizburger,Ručak,6.0,2018-01-31 23:54:04
Ruska salata 100g,Salata,2.0,2018-08-27 11:23:49
Ruska salata 200g,Salata,4.0,2018-11-24 15:47:17
Ruska salata 200g,Salata,4.0,2018-02-04 13:47:03
Jaja i kobasica,Doručak,5.0,2018-08-19 04:17:40
Šiš ćevapi,Roštilj,4.0,2018-03-07 07:37:27
Omlet,Doručak,3.5,2018-06-22 05:08:54
Kola,Piće,2.0,2018-12-29 11:11:31
Fruit smoothie 2,Smoothie,3.0,2018-07-21 23:20:35
Lignje 300g,Posno,8.0,2018-08-01 07:39:05
Indeks sendvič,Sendvič,2.0,2018-09-04 08:36:55
Kafa,Kafa,2.0,2018-06-13 02:01:57
Voćni sendvič,Sendvič,3.0,2018-11-23 01:08:53
Oslić 300g,Posno,8.0,2018-09-27 10:53:24
Ćevapi mala porcija,Roštilj,3.0,2018-04-24 05:53:54
Fruit smoothie 3,Smoothie,3.0,2018-08-08 08:16:45
Luk,Salata,1.0,2018-07-06 19:12:08
Gurmanski hamburger,Ručak,7.0,2018-06-07 03:00:27
Omlet,Doručak,3.5,2018-03-07 14:44:15
Fruit smoothie 1,Smoothie,3.0,2018-05-28 10:37:24
Fruit smoothie 1,Smoothie,3.0,2018-10-08 03:03:59
Omlet sa sirom,Doručak,4.0,2018-04-26 02:48:27
Indeks sendvič,Sendvič,2.0,2018-03-27 17:10:16
Lignje 300g,Posno,8.0,2018-06-06 13:26:25
Oslić 300g,Posno,8.0,2018-02-15 14:25:26
Čaj,Piće,1.5,2018-07-02 14:42:19
Hercegovačko vino,Piće,20.0,2018-08-04 21:14:19
Domaća čorba,Ručak,5.0,2018-06-07 13:49:28
Indeks sendvič,Sendvič,2.0,2018-12-25 16:42:16
Domaća čorba,Ručak,5.0,2018-08-01 13:03:19
Čizburger,Ručak,4.5,2018-05-23 07:35:33
Fruit smoothie 1,Smoothie,3.0,2018-08-01 19:53:17
Omlet sa sirom,Doručak,4.0,2018-12-10 09:32:59
Jaja i kobasica,Doručak,5.0,2018-05-30 16:38:46
Roštiljska kobasica,Roštilj,3.0,2018-06-21 03:43:50
Ćevapi srednja porcija,Roštilj,5.0,2018-08-03 09:12:22
Kapućino,Kafa,2.0,2018-02-13 00:11:35
Kola,Piće,2.0,2018-10-06 05:06:13
Ćevapi velika porcija,Roštilj,6.5,2018-04-30 05:30:00
Dupli čizburger,Ručak,6.0,2018-10-02 03:34:23
Lignje 300g,Posno,8.0,2018-12-04 16:48:32
Pastrmka 200g,Posno,7.0,2018-05-04 08:14:08
Domaća čorba,Ručak,5.0,2018-01-30 11:22:28
Engleska salata 100g,Salata,2.0,2018-07-07 04:16:05
Doručak specijal,Doručak,6.0,2018-08-10 03:22:58
Ćevapi mala porcija,Roštilj,3.0,2018-01-24 21:49:40
Kupus salata 100g,Salata,1.0,2018-11-22 11:01:06
Ćevapi srednja porcija,Roštilj,5.0,2018-07-28 07:41:33
Oslić 200g,Posno,6.0,2018-08-08 11:03:11
Ćevapi srednja porcija,Roštilj,5.0,2018-08-07 16:15:11
Jagoda,Piće,2.0,2018-07-29 07:58:16
Jabuka,Piće,2.0,2018-04-10 23:15:46
Riblja čorba,Posno,6.0,2018-10-08 20:31:12
Fruit smoothie 3,Smoothie,3.0,2018-02-13 10:35:50
Omlet sa povrćem,Doručak,4.0,2018-03-25 03:44:05
Pastrmka 200g,Posno,7.0,2018-08-28 14:48:50
Riblja čorba,Posno,6.0,2018-06-14 04:40:33
Fruit smoothie 2,Smoothie,3.0,2018-03-16 09:54:18
Vijetnamski som 200g,Posno,12.0,2018-03-03 10:30:30
Ruska salata 200g,Salata,4.0,2018-04-25 12:13:12
Cedevita,Piće,3.0,2018-05-13 10:42:45
Kafa,Kafa,2.0,2018-06-19 09:13:23
Ćevapi mala porcija,Roštilj,3.0,2018-05-21 01:01:51
Jagoda,Piće,2.0,2018-07-03 17:18:44
Jaja i kobasica,Doručak,5.0,2018-08-10 21:26:53
Luk,Salata,1.0,2018-09-12 06:06:11
Luk,Salata,1.0,2018-10-26 07:18:22
Ćevapi mala porcija,Roštilj,3.0,2018-01-27 03:06:16
Kupus salata 100g,Salata,1.0,2018-10-18 12:18:48
Šiš ćevapi,Roštilj,4.0,2018-09-01 17:48:12
Ruska salata 100g,Salata,2.0,2018-10-16 23:16:58
Jagoda,Piće,2.0,2018-12-29 05:37:12
Kola,Piće,2.0,2018-11-15 00:51:03
Oslić 300g,Posno,8.0,2018-04-02 07:18:31
Hamburger,Ručak,4.0,2018-11-20 23:51:33
Vijetnamski som 200g,Posno,12.0,2018-02-07 14:33:20
Cedevita,Piće,3.0,2018-05-19 06:52:35
Doručak specijal,Doručak,6.0,2018-07-21 09:07:59
Ćevapi srednja porcija,Roštilj,5.0,2018-02-21 16:53:47
Kapućino,Kafa,2.0,2018-07-29 13:10:37
Jabuka,Piće,2.0,2018-10-23 19:10:02
Jaja i kobasica,Doručak,5.0,2018-10-31 08:53:28
Fruit smoothie 3,Smoothie,3.0,2018-04-06 19:34:32
Fruit smoothie 2,Smoothie,3.0,2018-01-10 00:54:02
Indeks sendvič,Sendvič,2.0,2018-03-31 05:31:14
Pileće krpice,Roštilj,6.0,2018-06-15 22:48:59
Ruska salata 200g,Salata,4.0,2018-06-09 01:08:02
Gurmanski hamburger,Ručak,7.0,2018-06-08 05:31:20
Oslić 300g,Posno,8.0,2018-10-30 04:32:11
Pileće krpice,Roštilj,6.0,2018-02-07 23:48:25
Oslić 200g,Posno,6.0,2018-01-14 19:09:52
Kapućino,Kafa,2.0,2018-05-01 05:10:16
Oslić 300g,Posno,8.0,2018-06-26 10:13:29
Fruit smoothie 2,Smoothie,3.0,2018-01-29 22:09:47
Kupus salata 100g,Salata,1.0,2018-12-21 00:05:46
Gurmanski hamburger,Ručak,7.0,2018-04-04 00:40:44
Voćni sendvič,Sendvič,3.0,2018-01-22 08:58:30
Cedevita,Piće,3.0,2018-08-04 07:55:51
Ćevapi mala porcija,Roštilj,3.0,2018-10-24 01:58:43
Gurmanski hamburger,Ručak,7.0,2018-04-29 16:57:22
Engleska salata 100g,Salata,2.0,2018-01-28 18:50:14
Oslić 200g,Posno,6.0,2018-12-29 22:46:00
Gurmanski hamburger,Ručak,7.0,2018-09-08 01:16:13
Kola,Piće,2.0,2018-09-07 16:26:00
Domaća čorba,Ručak,5.0,2018-10-15 20:47:52
Čizburger,Ručak,4.5,2018-02-03 23:18:38
Crno Vino,Piće,18.0,2018-12-13 14:06:29
Hamburger,Ručak,4.0,2018-07-24 00:39:27
Čaj,Piće,1.5,2018-06-05 23:48:15
